# Biosample	Assay
heart left ventricle female adult (53 years)	ChIP-seq ELF1
heart left ventricle female adult (53 years)	ChIP-seq H2BK5ac
heart left ventricle female adult (53 years)	ChIP-seq H3K9me2
heart left ventricle female adult (53 years)	ChIP-seq RCOR1
heart left ventricle female adult (53 years)	ChIP-seq ZBTB33
skeletal muscle myoblast male adult (22 years)	ChIP-seq CTCF
skeletal muscle myoblast male adult (22 years)	ChIP-seq H2BK12ac
skeletal muscle myoblast male adult (22 years)	ChIP-seq H3K79me2
skeletal muscle myoblast male adult (22 years)	ChIP-seq POLR2AphosphoS5
skeletal muscle myoblast male adult (22 years)	ChIP-seq USF2
thyroid gland female adult (51 year)	ChIP-seq CEBPB
thyroid gland female adult (51 year)	ChIP-seq H2AK5ac
thyroid gland female adult (51 year)	ChIP-seq H3K4me3
thyroid gland female adult (51 year)	ChIP-seq NRF1
thyroid gland female adult (51 year)	ChIP-seq TCF12
ovary female adult (30 years)	ChIP-seq ATF3
ovary female adult (30 years)	ChIP-seq GTF2F1
ovary female adult (30 years)	ChIP-seq H3K4me1
ovary female adult (30 years)	ChIP-seq MAX
ovary female adult (30 years)	ChIP-seq TARDBP
placental basal plate female embryo (40 weeks)	ATAC-seq
placental basal plate female embryo (40 weeks)	ChIP-seq FOXK2
placental basal plate female embryo (40 weeks)	ChIP-seq H3K36me3
placental basal plate female embryo (40 weeks)	ChIP-seq KDM1A
placental basal plate female embryo (40 weeks)	ChIP-seq SUZ12
placental basal plate female embryo (40 weeks)	small RNA-seq
endothelial cell of umbilical vein nuclear fraction male newborn	ChIP-seq EZH2phosphoT487
endothelial cell of umbilical vein nuclear fraction male newborn	ChIP-seq H3K27ac
endothelial cell of umbilical vein nuclear fraction male newborn	ChIP-seq HDAC2
endothelial cell of umbilical vein nuclear fraction male newborn	ChIP-seq SMC3
endothelial cell of umbilical vein nuclear fraction male newborn	polyA RNA-seq
lower leg skin female adult (53 years)	ChIP-seq ETS1
lower leg skin female adult (53 years)	ChIP-seq H3K18ac
lower leg skin female adult (53 years)	ChIP-seq H4K8ac
lower leg skin female adult (53 years)	ChIP-seq RXRA
lower leg skin female adult (53 years)	RAMPAGE
neural stem progenitor cell originated from H1-hESC	ChIP-seq ELK1
neural stem progenitor cell originated from H1-hESC	ChIP-seq H3F3A
neural stem progenitor cell originated from H1-hESC	ChIP-seq H3K9me3
neural stem progenitor cell originated from H1-hESC	ChIP-seq REST
neural stem progenitor cell originated from H1-hESC	ChIP-seq ZFP36
gastroesophageal sphincter female adult (51 year)	ChIP-seq EGR1
gastroesophageal sphincter female adult (51 year)	ChIP-seq H2BK15ac
gastroesophageal sphincter female adult (51 year)	ChIP-seq H3K9ac
gastroesophageal sphincter female adult (51 year)	ChIP-seq RAD21
gastroesophageal sphincter female adult (51 year)	ChIP-seq YY1
lung female adult (30 years)	ChIP-seq CHD2
lung female adult (30 years)	ChIP-seq H2BK120ac
lung female adult (30 years)	ChIP-seq H3K79me1
lung female adult (30 years)	ChIP-seq POLR2A
lung female adult (30 years)	ChIP-seq USF1
muscle layer of duodenum male adult (59 years)	ChIP-seq BHLHE40
muscle layer of duodenum male adult (59 years)	ChIP-seq H2AFZ
muscle layer of duodenum male adult (59 years)	ChIP-seq H3K4me2
muscle layer of duodenum male adult (59 years)	ChIP-seq MAZ
muscle layer of duodenum male adult (59 years)	ChIP-seq TBP
peripheral blood mononuclear cell male adult (39 years)	CAGE
peripheral blood mononuclear cell male adult (39 years)	ChIP-seq GABPA
peripheral blood mononuclear cell male adult (39 years)	ChIP-seq H3K4ac
peripheral blood mononuclear cell male adult (39 years)	ChIP-seq MAFK
peripheral blood mononuclear cell male adult (39 years)	ChIP-seq TAF1
peripheral blood mononuclear cell male adult (39 years)	total RNA-seq
H9 genetically modified using stable transfection	ChIP-seq FOXA1
H9 genetically modified using stable transfection	ChIP-seq H3K27me3
H9 genetically modified using stable transfection	ChIP-seq JUND
H9 genetically modified using stable transfection	ChIP-seq SP1
H9 genetically modified using stable transfection	polyA depleted RNA-seq
foreskin fibroblast male newborn	ChIP-seq EZH2
foreskin fibroblast male newborn	ChIP-seq H3K23ac
foreskin fibroblast male newborn	ChIP-seq H4K91ac
foreskin fibroblast male newborn	ChIP-seq SIN3A
foreskin fibroblast male newborn	microRNA-seq
HeLa-S3 nuclear fraction	ChIP-seq EP300
HeLa-S3 nuclear fraction	ChIP-seq H3K14ac
HeLa-S3 nuclear fraction	ChIP-seq H4K20me1
HeLa-S3 nuclear fraction	ChIP-seq RFX5
HeLa-S3 nuclear fraction	DNase-seq read-depth normalized signal
tibial nerve female adult (53 years)	ChIP-seq ELF1
tibial nerve female adult (53 years)	ChIP-seq H2BK5ac
tibial nerve female adult (53 years)	ChIP-seq H3K9me2
tibial nerve female adult (53 years)	ChIP-seq RCOR1
tibial nerve female adult (53 years)	ChIP-seq ZBTB33
neutrophil	ChIP-seq CTCF
neutrophil	ChIP-seq H2BK12ac
neutrophil	ChIP-seq H3K79me2
neutrophil	ChIP-seq POLR2AphosphoS5
neutrophil	ChIP-seq USF2
vagina female adult (51 year)	ChIP-seq CEBPB
vagina female adult (51 year)	ChIP-seq H2AK5ac
vagina female adult (51 year)	ChIP-seq H3K4me3
vagina female adult (51 year)	ChIP-seq NRF1
vagina female adult (51 year)	ChIP-seq TCF12
CD14-positive monocyte male adult (21 year)	ChIP-seq ATF3
CD14-positive monocyte male adult (21 year)	ChIP-seq GTF2F1
CD14-positive monocyte male adult (21 year)	ChIP-seq H3K4me1
CD14-positive monocyte male adult (21 year)	ChIP-seq MAX
CD14-positive monocyte male adult (21 year)	ChIP-seq TARDBP
H1-hESC cytosolic fraction	ATAC-seq
H1-hESC cytosolic fraction	ChIP-seq FOXK2
H1-hESC cytosolic fraction	ChIP-seq H3K36me3
H1-hESC cytosolic fraction	ChIP-seq KDM1A
H1-hESC cytosolic fraction	ChIP-seq SUZ12
H1-hESC cytosolic fraction	small RNA-seq
heart left ventricle male child (3 years)	ChIP-seq EZH2phosphoT487
heart left ventricle male child (3 years)	ChIP-seq H3K27ac
heart left ventricle male child (3 years)	ChIP-seq HDAC2
heart left ventricle male child (3 years)	ChIP-seq SMC3
heart left ventricle male child (3 years)	polyA RNA-seq
prostate gland male adult (37 years)	ChIP-seq ETS1
prostate gland male adult (37 years)	ChIP-seq H3K18ac
prostate gland male adult (37 years)	ChIP-seq H4K8ac
prostate gland male adult (37 years)	ChIP-seq RXRA
prostate gland male adult (37 years)	RAMPAGE
M059J	ChIP-seq ELK1
M059J	ChIP-seq H3F3A
M059J	ChIP-seq H3K9me3
M059J	ChIP-seq REST
M059J	ChIP-seq ZFP36
CD4-positive, alpha-beta T cell	ChIP-seq EGR1
CD4-positive, alpha-beta T cell	ChIP-seq H2BK15ac
CD4-positive, alpha-beta T cell	ChIP-seq H3K9ac
CD4-positive, alpha-beta T cell	ChIP-seq RAD21
CD4-positive, alpha-beta T cell	ChIP-seq YY1
mammary epithelial cell female adult (18 years)	ChIP-seq CHD2
mammary epithelial cell female adult (18 years)	ChIP-seq H2BK120ac
mammary epithelial cell female adult (18 years)	ChIP-seq H3K79me1
mammary epithelial cell female adult (18 years)	ChIP-seq POLR2A
mammary epithelial cell female adult (18 years)	ChIP-seq USF1
layer of hippocampus male adult (73 years)	ChIP-seq BHLHE40
layer of hippocampus male adult (73 years)	ChIP-seq H2AFZ
layer of hippocampus male adult (73 years)	ChIP-seq H3K4me2
layer of hippocampus male adult (73 years)	ChIP-seq MAZ
layer of hippocampus male adult (73 years)	ChIP-seq TBP
Parathyroid adenoma male adult (62 years)	CAGE
Parathyroid adenoma male adult (62 years)	ChIP-seq GABPA
Parathyroid adenoma male adult (62 years)	ChIP-seq H3K4ac
Parathyroid adenoma male adult (62 years)	ChIP-seq MAFK
Parathyroid adenoma male adult (62 years)	ChIP-seq TAF1
Parathyroid adenoma male adult (62 years)	total RNA-seq
sigmoid colon male adult (34 years)	ChIP-seq FOXA1
sigmoid colon male adult (34 years)	ChIP-seq H3K27me3
sigmoid colon male adult (34 years)	ChIP-seq JUND
sigmoid colon male adult (34 years)	ChIP-seq SP1
sigmoid colon male adult (34 years)	polyA depleted RNA-seq
endocrine pancreas adult (59 years)	ChIP-seq EZH2
endocrine pancreas adult (59 years)	ChIP-seq H3K23ac
endocrine pancreas adult (59 years)	ChIP-seq H4K91ac
endocrine pancreas adult (59 years)	ChIP-seq SIN3A
endocrine pancreas adult (59 years)	microRNA-seq
skeletal muscle satellite cell female adult originated from mesodermal cell	ChIP-seq EP300
skeletal muscle satellite cell female adult originated from mesodermal cell	ChIP-seq H3K14ac
skeletal muscle satellite cell female adult originated from mesodermal cell	ChIP-seq H4K20me1
skeletal muscle satellite cell female adult originated from mesodermal cell	ChIP-seq RFX5
skeletal muscle satellite cell female adult originated from mesodermal cell	DNase-seq read-depth normalized signal
esophagus squamous epithelium female adult (53 years)	ChIP-seq ELF1
esophagus squamous epithelium female adult (53 years)	ChIP-seq H2BK5ac
esophagus squamous epithelium female adult (53 years)	ChIP-seq H3K9me2
esophagus squamous epithelium female adult (53 years)	ChIP-seq RCOR1
esophagus squamous epithelium female adult (53 years)	ChIP-seq ZBTB33
lung male child (3 years)	ChIP-seq CTCF
lung male child (3 years)	ChIP-seq H2BK12ac
lung male child (3 years)	ChIP-seq H3K79me2
lung male child (3 years)	ChIP-seq POLR2AphosphoS5
lung male child (3 years)	ChIP-seq USF2
melanocyte of skin male child (1 year) and male child (3 years)	ChIP-seq CEBPB
melanocyte of skin male child (1 year) and male child (3 years)	ChIP-seq H2AK5ac
melanocyte of skin male child (1 year) and male child (3 years)	ChIP-seq H3K4me3
melanocyte of skin male child (1 year) and male child (3 years)	ChIP-seq NRF1
melanocyte of skin male child (1 year) and male child (3 years)	ChIP-seq TCF12
foreskin keratinocyte male newborn	ChIP-seq ATF3
foreskin keratinocyte male newborn	ChIP-seq GTF2F1
foreskin keratinocyte male newborn	ChIP-seq H3K4me1
foreskin keratinocyte male newborn	ChIP-seq MAX
foreskin keratinocyte male newborn	ChIP-seq TARDBP
B cell male adult (37 years)	ATAC-seq
B cell male adult (37 years)	ChIP-seq FOXK2
B cell male adult (37 years)	ChIP-seq H3K36me3
B cell male adult (37 years)	ChIP-seq KDM1A
B cell male adult (37 years)	ChIP-seq SUZ12
B cell male adult (37 years)	small RNA-seq
PC-3	ChIP-seq EZH2phosphoT487
PC-3	ChIP-seq H3K27ac
PC-3	ChIP-seq HDAC2
PC-3	ChIP-seq SMC3
PC-3	polyA RNA-seq
bipolar neuron originated from GM23338 treated with 0.5 μg/mL doxycycline hyclate for 4 days	ChIP-seq ETS1
bipolar neuron originated from GM23338 treated with 0.5 μg/mL doxycycline hyclate for 4 days	ChIP-seq H3K18ac
bipolar neuron originated from GM23338 treated with 0.5 μg/mL doxycycline hyclate for 4 days	ChIP-seq H4K8ac
bipolar neuron originated from GM23338 treated with 0.5 μg/mL doxycycline hyclate for 4 days	ChIP-seq RXRA
bipolar neuron originated from GM23338 treated with 0.5 μg/mL doxycycline hyclate for 4 days	RAMPAGE
IMR-90	ChIP-seq ELK1
IMR-90	ChIP-seq H3F3A
IMR-90	ChIP-seq H3K9me3
IMR-90	ChIP-seq REST
IMR-90	ChIP-seq ZFP36
Peyer's patch female adult (53 years)	ChIP-seq EGR1
Peyer's patch female adult (53 years)	ChIP-seq H2BK15ac
Peyer's patch female adult (53 years)	ChIP-seq H3K9ac
Peyer's patch female adult (53 years)	ChIP-seq RAD21
Peyer's patch female adult (53 years)	ChIP-seq YY1
A549 nuclear fraction	ChIP-seq CHD2
A549 nuclear fraction	ChIP-seq H2BK120ac
A549 nuclear fraction	ChIP-seq H3K79me1
A549 nuclear fraction	ChIP-seq POLR2A
A549 nuclear fraction	ChIP-seq USF1
right cardiac atrium male adult (34 years)	ChIP-seq BHLHE40
right cardiac atrium male adult (34 years)	ChIP-seq H2AFZ
right cardiac atrium male adult (34 years)	ChIP-seq H3K4me2
right cardiac atrium male adult (34 years)	ChIP-seq MAZ
right cardiac atrium male adult (34 years)	ChIP-seq TBP
esophagus muscularis mucosa female adult (51 year)	CAGE
esophagus muscularis mucosa female adult (51 year)	ChIP-seq GABPA
esophagus muscularis mucosa female adult (51 year)	ChIP-seq H3K4ac
esophagus muscularis mucosa female adult (51 year)	ChIP-seq MAFK
esophagus muscularis mucosa female adult (51 year)	ChIP-seq TAF1
esophagus muscularis mucosa female adult (51 year)	total RNA-seq
brain male embryo (122 days)	ChIP-seq FOXA1
brain male embryo (122 days)	ChIP-seq H3K27me3
brain male embryo (122 days)	ChIP-seq JUND
brain male embryo (122 days)	ChIP-seq SP1
brain male embryo (122 days)	polyA depleted RNA-seq
layer of hippocampus male adult (81 year)	ChIP-seq EZH2
layer of hippocampus male adult (81 year)	ChIP-seq H3K23ac
layer of hippocampus male adult (81 year)	ChIP-seq H4K91ac
layer of hippocampus male adult (81 year)	ChIP-seq SIN3A
layer of hippocampus male adult (81 year)	microRNA-seq
esophagus squamous epithelium male adult (37 years)	ChIP-seq EP300
esophagus squamous epithelium male adult (37 years)	ChIP-seq H3K14ac
esophagus squamous epithelium male adult (37 years)	ChIP-seq H4K20me1
esophagus squamous epithelium male adult (37 years)	ChIP-seq RFX5
esophagus squamous epithelium male adult (37 years)	DNase-seq read-depth normalized signal
adrenal gland female adult (30 years)	ChIP-seq ELF1
adrenal gland female adult (30 years)	ChIP-seq H2BK5ac
adrenal gland female adult (30 years)	ChIP-seq H3K9me2
adrenal gland female adult (30 years)	ChIP-seq RCOR1
adrenal gland female adult (30 years)	ChIP-seq ZBTB33
SJCRH30	ChIP-seq CTCF
SJCRH30	ChIP-seq H2BK12ac
SJCRH30	ChIP-seq H3K79me2
SJCRH30	ChIP-seq POLR2AphosphoS5
SJCRH30	ChIP-seq USF2
mesenchymal stem cell originated from adipose tissue	ChIP-seq CEBPB
mesenchymal stem cell originated from adipose tissue	ChIP-seq H2AK5ac
mesenchymal stem cell originated from adipose tissue	ChIP-seq H3K4me3
mesenchymal stem cell originated from adipose tissue	ChIP-seq NRF1
mesenchymal stem cell originated from adipose tissue	ChIP-seq TCF12
aorta male adult (34 years)	ChIP-seq ATF3
aorta male adult (34 years)	ChIP-seq GTF2F1
aorta male adult (34 years)	ChIP-seq H3K4me1
aorta male adult (34 years)	ChIP-seq MAX
aorta male adult (34 years)	ChIP-seq TARDBP
myoepithelial cell of mammary gland female adult (33 years)	ATAC-seq
myoepithelial cell of mammary gland female adult (33 years)	ChIP-seq FOXK2
myoepithelial cell of mammary gland female adult (33 years)	ChIP-seq H3K36me3
myoepithelial cell of mammary gland female adult (33 years)	ChIP-seq KDM1A
myoepithelial cell of mammary gland female adult (33 years)	ChIP-seq SUZ12
myoepithelial cell of mammary gland female adult (33 years)	small RNA-seq
common myeloid progenitor, CD34-positive	ChIP-seq EZH2phosphoT487
common myeloid progenitor, CD34-positive	ChIP-seq H3K27ac
common myeloid progenitor, CD34-positive	ChIP-seq HDAC2
common myeloid progenitor, CD34-positive	ChIP-seq SMC3
common myeloid progenitor, CD34-positive	polyA RNA-seq
HUES6	ChIP-seq ETS1
HUES6	ChIP-seq H3K18ac
HUES6	ChIP-seq H4K8ac
HUES6	ChIP-seq RXRA
HUES6	RAMPAGE
substantia nigra female adult (75 years)	ChIP-seq ELK1
substantia nigra female adult (75 years)	ChIP-seq H3F3A
substantia nigra female adult (75 years)	ChIP-seq H3K9me3
substantia nigra female adult (75 years)	ChIP-seq REST
substantia nigra female adult (75 years)	ChIP-seq ZFP36
kidney male adult (50 years)	ChIP-seq EGR1
kidney male adult (50 years)	ChIP-seq H2BK15ac
kidney male adult (50 years)	ChIP-seq H3K9ac
kidney male adult (50 years)	ChIP-seq RAD21
kidney male adult (50 years)	ChIP-seq YY1
esophagus muscularis mucosa male adult (37 years)	ChIP-seq CHD2
esophagus muscularis mucosa male adult (37 years)	ChIP-seq H2BK120ac
esophagus muscularis mucosa male adult (37 years)	ChIP-seq H3K79me1
esophagus muscularis mucosa male adult (37 years)	ChIP-seq POLR2A
esophagus muscularis mucosa male adult (37 years)	ChIP-seq USF1
GM12878 nuclear fraction	ChIP-seq BHLHE40
GM12878 nuclear fraction	ChIP-seq H2AFZ
GM12878 nuclear fraction	ChIP-seq H3K4me2
GM12878 nuclear fraction	ChIP-seq MAZ
GM12878 nuclear fraction	ChIP-seq TBP
SK-N-DZ cytosolic fraction	CAGE
SK-N-DZ cytosolic fraction	ChIP-seq GABPA
SK-N-DZ cytosolic fraction	ChIP-seq H3K4ac
SK-N-DZ cytosolic fraction	ChIP-seq MAFK
SK-N-DZ cytosolic fraction	ChIP-seq TAF1
SK-N-DZ cytosolic fraction	total RNA-seq
psoas muscle male adult (34 years)	ChIP-seq FOXA1
psoas muscle male adult (34 years)	ChIP-seq H3K27me3
psoas muscle male adult (34 years)	ChIP-seq JUND
psoas muscle male adult (34 years)	ChIP-seq SP1
psoas muscle male adult (34 years)	polyA depleted RNA-seq
iPS-18a female adult (48 years)	ChIP-seq EZH2
iPS-18a female adult (48 years)	ChIP-seq H3K23ac
iPS-18a female adult (48 years)	ChIP-seq H4K91ac
iPS-18a female adult (48 years)	ChIP-seq SIN3A
iPS-18a female adult (48 years)	microRNA-seq
uterus female adult (51 year)	ChIP-seq EP300
uterus female adult (51 year)	ChIP-seq H3K14ac
uterus female adult (51 year)	ChIP-seq H4K20me1
uterus female adult (51 year)	ChIP-seq RFX5
uterus female adult (51 year)	DNase-seq read-depth normalized signal
subcutaneous abdominal adipose tissue nuclear fraction female adult (81 year)	ChIP-seq ELF1
subcutaneous abdominal adipose tissue nuclear fraction female adult (81 year)	ChIP-seq H2BK5ac
subcutaneous abdominal adipose tissue nuclear fraction female adult (81 year)	ChIP-seq H3K9me2
subcutaneous abdominal adipose tissue nuclear fraction female adult (81 year)	ChIP-seq RCOR1
subcutaneous abdominal adipose tissue nuclear fraction female adult (81 year)	ChIP-seq ZBTB33
diencephalon female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq CTCF
diencephalon female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq H2BK12ac
diencephalon female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq H3K79me2
diencephalon female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq POLR2AphosphoS5
diencephalon female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq USF2
trophoblast female embryo (20 weeks)	ChIP-seq CEBPB
trophoblast female embryo (20 weeks)	ChIP-seq H2AK5ac
trophoblast female embryo (20 weeks)	ChIP-seq H3K4me3
trophoblast female embryo (20 weeks)	ChIP-seq NRF1
trophoblast female embryo (20 weeks)	ChIP-seq TCF12
CD8-positive, alpha-beta memory T cell	ChIP-seq ATF3
CD8-positive, alpha-beta memory T cell	ChIP-seq GTF2F1
CD8-positive, alpha-beta memory T cell	ChIP-seq H3K4me1
CD8-positive, alpha-beta memory T cell	ChIP-seq MAX
CD8-positive, alpha-beta memory T cell	ChIP-seq TARDBP
testis male adult (37 years)	ATAC-seq
testis male adult (37 years)	ChIP-seq FOXK2
testis male adult (37 years)	ChIP-seq H3K36me3
testis male adult (37 years)	ChIP-seq KDM1A
testis male adult (37 years)	ChIP-seq SUZ12
testis male adult (37 years)	small RNA-seq
hematopoietic multipotent progenitor cell	ChIP-seq EZH2phosphoT487
hematopoietic multipotent progenitor cell	ChIP-seq H3K27ac
hematopoietic multipotent progenitor cell	ChIP-seq HDAC2
hematopoietic multipotent progenitor cell	ChIP-seq SMC3
hematopoietic multipotent progenitor cell	polyA RNA-seq
mammary epithelial cell female adult (50 years)	ChIP-seq ETS1
mammary epithelial cell female adult (50 years)	ChIP-seq H3K18ac
mammary epithelial cell female adult (50 years)	ChIP-seq H4K8ac
mammary epithelial cell female adult (50 years)	ChIP-seq RXRA
mammary epithelial cell female adult (50 years)	RAMPAGE
skeletal muscle satellite cell female adult (64 years) and male adult (21 year)	ChIP-seq ELK1
skeletal muscle satellite cell female adult (64 years) and male adult (21 year)	ChIP-seq H3F3A
skeletal muscle satellite cell female adult (64 years) and male adult (21 year)	ChIP-seq H3K9me3
skeletal muscle satellite cell female adult (64 years) and male adult (21 year)	ChIP-seq REST
skeletal muscle satellite cell female adult (64 years) and male adult (21 year)	ChIP-seq ZFP36
upper lobe of left lung male adult (54 years)	ChIP-seq EGR1
upper lobe of left lung male adult (54 years)	ChIP-seq H2BK15ac
upper lobe of left lung male adult (54 years)	ChIP-seq H3K9ac
upper lobe of left lung male adult (54 years)	ChIP-seq RAD21
upper lobe of left lung male adult (54 years)	ChIP-seq YY1
breast epithelium female adult (53 years)	ChIP-seq CHD2
breast epithelium female adult (53 years)	ChIP-seq H2BK120ac
breast epithelium female adult (53 years)	ChIP-seq H3K79me1
breast epithelium female adult (53 years)	ChIP-seq POLR2A
breast epithelium female adult (53 years)	ChIP-seq USF1
A375	ChIP-seq BHLHE40
A375	ChIP-seq H2AFZ
A375	ChIP-seq H3K4me2
A375	ChIP-seq MAZ
A375	ChIP-seq TBP
germinal matrix male embryo (20 weeks)	CAGE
germinal matrix male embryo (20 weeks)	ChIP-seq GABPA
germinal matrix male embryo (20 weeks)	ChIP-seq H3K4ac
germinal matrix male embryo (20 weeks)	ChIP-seq MAFK
germinal matrix male embryo (20 weeks)	ChIP-seq TAF1
germinal matrix male embryo (20 weeks)	total RNA-seq
osteoblast	ChIP-seq FOXA1
osteoblast	ChIP-seq H3K27me3
osteoblast	ChIP-seq JUND
osteoblast	ChIP-seq SP1
osteoblast	polyA depleted RNA-seq
melanocyte of skin female adult (52 years) and male adult (55 years)	ChIP-seq EZH2
melanocyte of skin female adult (52 years) and male adult (55 years)	ChIP-seq H3K23ac
melanocyte of skin female adult (52 years) and male adult (55 years)	ChIP-seq H4K91ac
melanocyte of skin female adult (52 years) and male adult (55 years)	ChIP-seq SIN3A
melanocyte of skin female adult (52 years) and male adult (55 years)	microRNA-seq
T-helper 17 cell treated with phorbol 13-acetate 12-myristate , ionomycin	ChIP-seq EP300
T-helper 17 cell treated with phorbol 13-acetate 12-myristate , ionomycin	ChIP-seq H3K14ac
T-helper 17 cell treated with phorbol 13-acetate 12-myristate , ionomycin	ChIP-seq H4K20me1
T-helper 17 cell treated with phorbol 13-acetate 12-myristate , ionomycin	ChIP-seq RFX5
T-helper 17 cell treated with phorbol 13-acetate 12-myristate , ionomycin	DNase-seq read-depth normalized signal
kidney male adult (67 years)	ChIP-seq ELF1
kidney male adult (67 years)	ChIP-seq H2BK5ac
kidney male adult (67 years)	ChIP-seq H3K9me2
kidney male adult (67 years)	ChIP-seq RCOR1
kidney male adult (67 years)	ChIP-seq ZBTB33
K562 cytosolic fraction	ChIP-seq CTCF
K562 cytosolic fraction	ChIP-seq H2BK12ac
K562 cytosolic fraction	ChIP-seq H3K79me2
K562 cytosolic fraction	ChIP-seq POLR2AphosphoS5
K562 cytosolic fraction	ChIP-seq USF2
body of pancreas male adult (37 years)	ChIP-seq CEBPB
body of pancreas male adult (37 years)	ChIP-seq H2AK5ac
body of pancreas male adult (37 years)	ChIP-seq H3K4me3
body of pancreas male adult (37 years)	ChIP-seq NRF1
body of pancreas male adult (37 years)	ChIP-seq TCF12
esophagus squamous epithelium male adult (54 years)	ChIP-seq ATF3
esophagus squamous epithelium male adult (54 years)	ChIP-seq GTF2F1
esophagus squamous epithelium male adult (54 years)	ChIP-seq H3K4me1
esophagus squamous epithelium male adult (54 years)	ChIP-seq MAX
esophagus squamous epithelium male adult (54 years)	ChIP-seq TARDBP
neurosphere female embryo (17 weeks) originated from cortex	ATAC-seq
neurosphere female embryo (17 weeks) originated from cortex	ChIP-seq FOXK2
neurosphere female embryo (17 weeks) originated from cortex	ChIP-seq H3K36me3
neurosphere female embryo (17 weeks) originated from cortex	ChIP-seq KDM1A
neurosphere female embryo (17 weeks) originated from cortex	ChIP-seq SUZ12
neurosphere female embryo (17 weeks) originated from cortex	small RNA-seq
fibroblast of lung female child (11 year) and male adult (45 years)	ChIP-seq EZH2phosphoT487
fibroblast of lung female child (11 year) and male adult (45 years)	ChIP-seq H3K27ac
fibroblast of lung female child (11 year) and male adult (45 years)	ChIP-seq HDAC2
fibroblast of lung female child (11 year) and male adult (45 years)	ChIP-seq SMC3
fibroblast of lung female child (11 year) and male adult (45 years)	polyA RNA-seq
OCI-LY7	ChIP-seq ETS1
OCI-LY7	ChIP-seq H3K18ac
OCI-LY7	ChIP-seq H4K8ac
OCI-LY7	ChIP-seq RXRA
OCI-LY7	RAMPAGE
endocrine pancreas male adult (46 years)	ChIP-seq ELK1
endocrine pancreas male adult (46 years)	ChIP-seq H3F3A
endocrine pancreas male adult (46 years)	ChIP-seq H3K9me3
endocrine pancreas male adult (46 years)	ChIP-seq REST
endocrine pancreas male adult (46 years)	ChIP-seq ZFP36
small intestine male embryo (108 days)	ChIP-seq EGR1
small intestine male embryo (108 days)	ChIP-seq H2BK15ac
small intestine male embryo (108 days)	ChIP-seq H3K9ac
small intestine male embryo (108 days)	ChIP-seq RAD21
small intestine male embryo (108 days)	ChIP-seq YY1
mesendoderm originated from H1-hESC	ChIP-seq CHD2
mesendoderm originated from H1-hESC	ChIP-seq H2BK120ac
mesendoderm originated from H1-hESC	ChIP-seq H3K79me1
mesendoderm originated from H1-hESC	ChIP-seq POLR2A
mesendoderm originated from H1-hESC	ChIP-seq USF1
hepatocyte originated from H9	ChIP-seq BHLHE40
hepatocyte originated from H9	ChIP-seq H2AFZ
hepatocyte originated from H9	ChIP-seq H3K4me2
hepatocyte originated from H9	ChIP-seq MAZ
hepatocyte originated from H9	ChIP-seq TBP
HT1080	CAGE
HT1080	ChIP-seq GABPA
HT1080	ChIP-seq H3K4ac
HT1080	ChIP-seq MAFK
HT1080	ChIP-seq TAF1
HT1080	total RNA-seq
DOHH2	ChIP-seq FOXA1
DOHH2	ChIP-seq H3K27me3
DOHH2	ChIP-seq JUND
DOHH2	ChIP-seq SP1
DOHH2	polyA depleted RNA-seq
Peyer's patch male adult (54 years)	ChIP-seq EZH2
Peyer's patch male adult (54 years)	ChIP-seq H3K23ac
Peyer's patch male adult (54 years)	ChIP-seq H4K91ac
Peyer's patch male adult (54 years)	ChIP-seq SIN3A
Peyer's patch male adult (54 years)	microRNA-seq
ectodermal cell originated from embryonic stem cell	ChIP-seq EP300
ectodermal cell originated from embryonic stem cell	ChIP-seq H3K14ac
ectodermal cell originated from embryonic stem cell	ChIP-seq H4K20me1
ectodermal cell originated from embryonic stem cell	ChIP-seq RFX5
ectodermal cell originated from embryonic stem cell	DNase-seq read-depth normalized signal
H1-hESC nuclear fraction	ChIP-seq ELF1
H1-hESC nuclear fraction	ChIP-seq H2BK5ac
H1-hESC nuclear fraction	ChIP-seq H3K9me2
H1-hESC nuclear fraction	ChIP-seq RCOR1
H1-hESC nuclear fraction	ChIP-seq ZBTB33
iPS DF 19.11 male newborn	ChIP-seq CTCF
iPS DF 19.11 male newborn	ChIP-seq H2BK12ac
iPS DF 19.11 male newborn	ChIP-seq H3K79me2
iPS DF 19.11 male newborn	ChIP-seq POLR2AphosphoS5
iPS DF 19.11 male newborn	ChIP-seq USF2
keratinocyte female	ChIP-seq CEBPB
keratinocyte female	ChIP-seq H2AK5ac
keratinocyte female	ChIP-seq H3K4me3
keratinocyte female	ChIP-seq NRF1
keratinocyte female	ChIP-seq TCF12
tibial nerve female adult (51 year)	ChIP-seq ATF3
tibial nerve female adult (51 year)	ChIP-seq GTF2F1
tibial nerve female adult (51 year)	ChIP-seq H3K4me1
tibial nerve female adult (51 year)	ChIP-seq MAX
tibial nerve female adult (51 year)	ChIP-seq TARDBP
esophagus squamous epithelium female adult (51 year)	ATAC-seq
esophagus squamous epithelium female adult (51 year)	ChIP-seq FOXK2
