# Biosample	Assay
thyroid gland male adult (37 years)	ChIP-seq H2BK120ac
H9 genetically modified using stable transfection	ChIP-seq FOXA1
HeLa-S3 cytosolic fraction	ChIP-seq FOXA1
neural cell	ChIP-seq H2AFZ
A549 treated with 100 nM dexamethasone for 1 hour	ChIP-seq CEBPB
testis male adult (37 years)	small RNA-seq
frontal cortex female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq GABPA
muscle layer of duodenum male adult (73 years)	ChIP-seq ZBTB33
adrenal gland male adult (37 years)	ChIP-seq CEBPB
gastrocnemius medialis male adult (54 years)	ChIP-seq ZBTB33
spleen male child (3 years)	ChIP-seq H4K20me1
OCI-LY3	ChIP-seq H4K20me1
peripheral blood mononuclear cell female adult (28 years)	ChIP-seq H3F3A
kidney epithelial cell	ChIP-seq SUZ12
thyroid gland female adult (53 years)	ChIP-seq TBP
common myeloid progenitor, CD34-positive female adult (33 years)	ChIP-seq H3K4me1
GM12878 nuclear fraction	ChIP-seq H2AFZ
HeLa-S3 cytosolic fraction	ChIP-seq JUND
osteoblast	ChIP-seq FOXA1
right atrium auricular region female adult (53 years)	ChIP-seq YY1
esophagus muscularis mucosa female adult (53 years)	ChIP-seq SUZ12
tongue female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq KDM1A
H9	ChIP-seq H3K79me1
NCI-H460	ChIP-seq FOXK2
SK-MEL-5 cytosolic fraction	ChIP-seq H3K9me2
endothelial cell of umbilical vein male newborn	polyA depleted RNA-seq
esophagus male adult (34 years)	ChIP-seq MAZ
small intestine male adult (34 years)	ChIP-seq H2BK5ac
HEK293	ChIP-seq POLR2A
neutrophil	ChIP-seq CTCF
occipital lobe female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq H2BK15ac
ACC112	ChIP-seq H3K18ac
B cell female adult (27 years)	ChIP-seq FOXA1
KMS-11	ChIP-seq FOXK2
liver female adult (25 years)	polyA RNA-seq
subcutaneous preadipocyte female adult (62 years) and male adult (65 years)	ChIP-seq ETS1
fibroblast of breast female adult (17 years)	ChIP-seq H3K4me1
CD8-positive, alpha-beta T cell male adult (21 year)	ChIP-seq H3K23ac
IMR-90 cytosolic fraction	ChIP-seq FOXA1
CD4-positive, alpha-beta T cell treated with phorbol 13-acetate 12-myristate , ionomycin	ChIP-seq H3K9me2
subcutaneous abdominal adipose tissue nuclear fraction female adult (59 years)	ChIP-seq FOXA1
spleen female adult (53 years)	ChIP-seq H3K9ac
endocrine pancreas adult (59 years)	microRNA-seq
transverse colon male adult (54 years)	ChIP-seq MAZ
SK-MEL-5 nuclear fraction	ChIP-seq H2BK12ac
tibial nerve female adult (51 year)	ChIP-seq ATF3
omental fat pad male adult (54 years)	ChIP-seq ETS1
GM12878	ChIP-seq H3K79me2
brain male embryo (122 days)	ChIP-seq JUND
H7-hESC	ChIP-seq H2BK120ac
placenta embryo (16 weeks)	ChIP-seq H2BK120ac
OCI-LY3	ChIP-seq RFX5
CD14-positive monocyte female	ChIP-seq ZBTB33
layer of hippocampus male adult (81 year)	microRNA-seq
esophagus squamous epithelium female adult (53 years)	ChIP-seq H3K9me2
SU-DHL-6	ChIP-seq ZBTB33
GM12891	ChIP-seq H3K4me2
mucosa of rectum female adult (50 years)	ChIP-seq H3K4me1
thyroid gland male adult (54 years)	ATAC-seq
GM23338 male adult (53 years) originated from GM23248	ChIP-seq H2BK12ac
SK-MEL-5	ChIP-seq H3K4ac
myoepithelial cell of mammary gland female adult (33 years)	ChIP-seq FOXK2
occipital lobe female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq EGR1
peripheral blood mononuclear cell male adult (39 years)	ChIP-seq MAFK
lung female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq H2BK12ac
B cell female adult (27 years) and female adult (43 years)	ChIP-seq H3F3A
OCI-LY1	ChIP-seq POLR2A
OCI-LY7	ChIP-seq RXRA
middle frontal area 46 male adult (81 year)	ChIP-seq RAD21
fibroblast of lung male adult (45 years)	ChIP-seq FOXK2
mesenchymal stem cell of adipose	ChIP-seq H3K79me2
layer of hippocampus female adult (75 years)	microRNA-seq
natural killer cell male adult (21 year)	ChIP-seq USF1
H1-hESC nuclear fraction	ChIP-seq H2BK5ac
kidney male adult (67 years)	ChIP-seq H3K9me2
mammary epithelial cell female	ChIP-seq RCOR1
lung female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq POLR2AphosphoS5
placental basal plate male embryo (38 weeks)	ChIP-seq H3K4me1
B cell male adult (37 years)	ChIP-seq SUZ12
subcutaneous abdominal adipose tissue nuclear fraction female adult (81 year)	ChIP-seq H3K9me2
duodenal mucosa male adult (76 years)	ChIP-seq FOXK2
HT-29	RAMPAGE
neural progenitor cell originated from H9	ChIP-seq POLR2A
NCI-H460	ChIP-seq H3K36me3
subcutaneous abdominal adipose tissue nuclear fraction female adult (41 year)	small RNA-seq
stomach smooth muscle male adult (59 years)	ChIP-seq USF2
kidney male adult (67 years)	ChIP-seq ZBTB33
thyroid gland male adult (54 years)	ChIP-seq H3K36me3
HepG2 cytosolic fraction	ChIP-seq NRF1
H4	small RNA-seq
aorta male adult (34 years)	ChIP-seq GTF2F1
endocrine pancreas male adult (46 years)	ChIP-seq ELK1
NCI-H460 nuclear fraction	ChIP-seq H2BK120ac
HepG2 cytosolic fraction	ChIP-seq TCF12
neutrophil	ChIP-seq POLR2AphosphoS5
common myeloid progenitor, CD34-positive female adult (27 years)	ChIP-seq CEBPB
skeletal muscle satellite cell female adult (64 years) and male adult (21 year)	ChIP-seq H3F3A
heart left ventricle male child (3 years)	ChIP-seq EZH2phosphoT487
endodermal cell originated from HUES64	ChIP-seq SP1
vagina female adult (51 year)	ChIP-seq CEBPB
placenta male embryo (16 weeks)	ChIP-seq ZBTB33
suprapubic skin male adult (37 years)	ChIP-seq EGR1
aorta female adult (30 years)	ChIP-seq H2AFZ
ACC112	ChIP-seq RXRA
GM23248	ChIP-seq H2AK5ac
iPS DF 19.11 male newborn	ChIP-seq H3K79me2
spinal cord female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq JUND
placenta embryo (16 weeks)	ChIP-seq USF1
HL-60	ChIP-seq TCF12
H1-hESC nuclear fraction	ChIP-seq ZBTB33
heart left ventricle female adult (51 year)	ChIP-seq H2AK5ac
common myeloid progenitor, CD34-positive male adult (36 years)	ChIP-seq EGR1
esophagus muscularis mucosa male adult (37 years)	ChIP-seq CHD2
DOHH2	ChIP-seq SP1
tibial nerve female adult (51 year)	ChIP-seq H3K4me1
kidney epithelial cell	ChIP-seq FOXK2
subcutaneous abdominal adipose tissue nuclear fraction female adult (41 year)	ChIP-seq KDM1A
fibroblast of dermis	ChIP-seq H2BK120ac
H9	ChIP-seq CHD2
CD4-positive, alpha-beta memory T cell	ChIP-seq H3K79me2
A549	ChIP-seq RFX5
PC-3	ChIP-seq EZH2phosphoT487
B cell female adult (27 years) and female adult (43 years)	ChIP-seq ZFP36
mammary epithelial cell female adult (18 years)	ChIP-seq POLR2A
H4	ChIP-seq KDM1A
B cell male adult (37 years)	small RNA-seq
keratinocyte female	ChIP-seq H2AK5ac
spinal cord female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq H3K27me3
HeLa-S3 cytosolic fraction	ChIP-seq H3K27me3
HEK293T	ChIP-seq MAFK
temporal lobe female adult (75 years)	ChIP-seq CHD2
common myeloid progenitor, CD34-positive female adult (33 years)	ChIP-seq GTF2F1
heart left ventricle female adult (53 years)	ChIP-seq H3K9me2
stomach female adult (53 years)	ChIP-seq H3F3A
Karpas-422	ChIP-seq TCF12
Panc1	ChIP-seq H3K14ac
HUES48	ChIP-seq H3F3A
CD8-positive, alpha-beta memory T cell	ChIP-seq TARDBP
SK-N-DZ cytosolic fraction	ChIP-seq TAF1
subcutaneous adipose tissue female adult (53 years)	ChIP-seq RAD21
spleen male child (3 years)	ChIP-seq H3K14ac
esophagus muscularis mucosa female adult (53 years)	ChIP-seq FOXK2
right atrium auricular region female adult (53 years)	ChIP-seq H2BK15ac
peripheral blood mononuclear cell male adult (32 years)	ChIP-seq RFX5
melanocyte of skin male child (1 year) and male child (3 years)	ChIP-seq NRF1
occipital lobe female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq YY1
thyroid gland male adult (54 years)	ChIP-seq SUZ12
upper lobe of left lung female adult (53 years)	ChIP-seq H3K14ac
GM12892	ChIP-seq ELF1
metanephros female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq RXRA
endothelial cell of umbilical vein male newborn	ChIP-seq H3K27me3
adrenal gland female adult (30 years)	ChIP-seq ZBTB33
duodenal mucosa male adult (76 years)	ChIP-seq KDM1A
T-helper 17 cell treated with phorbol 13-acetate 12-myristate , ionomycin	ChIP-seq EP300
lower leg skin female adult (51 year)	ChIP-seq H3K27ac
neural stem progenitor cell originated from H9	ChIP-seq EZH2
endocrine pancreas adult (59 years)	ChIP-seq H4K91ac
myoepithelial cell of mammary gland female adult (36 years)	ChIP-seq EP300
NT2/D1	ChIP-seq RCOR1
fibroblast of dermis	ChIP-seq USF1
keratinocyte nuclear fraction female	polyA RNA-seq
GM12892	ChIP-seq H2BK5ac
subcutaneous abdominal adipose tissue nuclear fraction female adult (81 year)	ChIP-seq ZBTB33
adrenal gland male adult (54 years)	ChIP-seq BHLHE40
psoas muscle male adult (34 years)	ChIP-seq FOXA1
K562 cytosolic fraction	ChIP-seq H3K79me2
RPMI-7951	ChIP-seq EZH2phosphoT487
spleen female adult (51 year)	ChIP-seq EZH2phosphoT487
Peyer's patch female adult (51 year)	ChIP-seq RFX5
esophagus muscularis mucosa male adult (54 years)	ChIP-seq H3F3A
thyroid gland male adult (54 years)	ChIP-seq FOXK2
AG04450	ChIP-seq EP300
tibial nerve male adult (37 years)	ChIP-seq H3K79me1
HT1080	ChIP-seq GABPA
myoepithelial cell of mammary gland female adult (33 years)	ChIP-seq SUZ12
breast epithelium female adult (51 year)	microRNA-seq
transverse colon female adult (51 year)	ChIP-seq H4K91ac
MCF-7 cytosolic fraction	ChIP-seq ZFP36
small intestine male embryo (108 days)	ChIP-seq H3K9ac
spleen male child (3 years)	ChIP-seq EP300
MCF-7 nuclear fraction	ChIP-seq JUND
trophoblast female embryo (40 weeks)	ChIP-seq H3K14ac
breast epithelium female adult (51 year)	ChIP-seq H4K91ac
chorionic villus embryo (16 weeks)	ChIP-seq FOXA1
psoas muscle male adult (34 years)	ChIP-seq JUND
neurosphere female embryo (17 weeks) originated from cortex	small RNA-seq
kidney female embryo (120 days)	ChIP-seq H3K4me2
esophagus muscularis mucosa female adult (53 years)	ATAC-seq
placental epithelial cell female newborn and male newborn	ChIP-seq H3K14ac
myotube	ChIP-seq EZH2phosphoT487
OCI-LY1	ChIP-seq H2BK120ac
spleen female adult (30 years)	ChIP-seq FOXK2
prostate gland male adult (54 years)	small RNA-seq
cerebellum female embryo (19 weeks) and female embryo (37 weeks)	ChIP-seq H2BK12ac
neurosphere female embryo (17 weeks) originated from cortex	ChIP-seq FOXK2
caudate nucleus female adult (75 years)	ChIP-seq TARDBP
NCI-H460 nuclear fraction	ChIP-seq POLR2A
metanephros female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq ETS1
skeletal muscle tissue female embryo (19 weeks) and male embryo (22 weeks)	ChIP-seq JUND
psoas muscle male child (3 years)	ChIP-seq EGR1
foreskin fibroblast male newborn	ChIP-seq H3K23ac
spinal cord female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq FOXA1
neurosphere embryo (15 weeks) originated from ganglionic eminence	ChIP-seq YY1
heart right ventricle male adult (34 years)	ChIP-seq EZH2
skeletal muscle myoblast male adult (22 years)	ChIP-seq H2BK12ac
fibroblast of breast female adult (17 years)	ChIP-seq TARDBP
GM23248	ChIP-seq TCF12
subcutaneous abdominal adipose tissue nuclear fraction female adult (81 year)	ChIP-seq H2BK5ac
heart left ventricle male child (3 years)	ChIP-seq HDAC2
fibroblast of villous mesenchyme female newborn and male newborn	ChIP-seq GTF2F1
PC-9	ChIP-seq ATF3
vagina female adult (51 year)	ChIP-seq H2AK5ac
body of pancreas male adult (37 years)	ChIP-seq H3K4me3
spleen male adult (37 years)	ChIP-seq RAD21
subcutaneous abdominal adipose tissue nuclear fraction female adult (41 year)	ChIP-seq FOXK2
chorionic villus male embryo (38 weeks)	ChIP-seq H3K79me2
spleen male adult (54 years)	ChIP-seq MAX
small intestine male adult (34 years)	ChIP-seq H3K9me2
parietal lobe female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq H2BK120ac
CD4-positive, alpha-beta T cell treated with phorbol 13-acetate 12-myristate , ionomycin	ChIP-seq ZBTB33
heart right ventricle male child (3 years)	ChIP-seq ZFP36
SK-MEL-5	ChIP-seq MAFK
common myeloid progenitor, CD34-positive male adult (42 years)	ChIP-seq ETS1
thymus male child (3 years)	ChIP-seq H3K9me3
HT1080	total RNA-seq
brain male embryo (122 days)	ChIP-seq SP1
stomach male child (3 years)	ChIP-seq JUND
ovary female adult (30 years)	ChIP-seq TARDBP
natural killer cell male adult (21 year)	ChIP-seq POLR2A
HeLa-S3 nuclear fraction	ChIP-seq EP300
HT-29	ChIP-seq RXRA
subcutaneous abdominal adipose tissue nuclear fraction female adult (41 year)	ChIP-seq SUZ12
gastrocnemius medialis male adult (37 years)	ChIP-seq H2BK15ac
testis male adult (54 years)	ChIP-seq H2BK120ac
H1-hESC cytosolic fraction	ChIP-seq KDM1A
foreskin melanocyte male newborn	ChIP-seq ZFP36
mammary epithelial cell female adult (18 years)	ChIP-seq H2BK120ac
Peyer's patch male adult (54 years)	microRNA-seq
small intestine female adult (30 years)	ChIP-seq EZH2phosphoT487
small intestine male embryo (108 days)	ChIP-seq YY1
muscle layer of duodenum male adult (59 years)	ChIP-seq H2AFZ
colonic mucosa female adult (73 years)	ChIP-seq H3K27ac
aorta female adult (30 years)	ChIP-seq BHLHE40
CD14-positive monocyte male adult (21 year)	ChIP-seq H3K4me1
A549 cytosolic fraction	ChIP-seq H3K9me3
endocrine pancreas male adult (45 years)	ChIP-seq BHLHE40
thoracic aorta male adult (37 years)	ChIP-seq EZH2
omental fat pad female adult (53 years)	ChIP-seq TAF1
stomach female adult (53 years)	ChIP-seq ZFP36
prostate gland male adult (37 years)	ChIP-seq H3K18ac
spleen male adult (34 years)	total RNA-seq
HepG2 cytosolic fraction	ChIP-seq CEBPB
lung female adult (30 years)	ChIP-seq POLR2A
SK-N-DZ nuclear fraction	ChIP-seq USF2
frontal cortex female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq MAFK
pancreas female adult (30 years)	ChIP-seq H2BK15ac
luminal epithelial cell of mammary gland female adult (33 years)	ChIP-seq MAZ
SK-N-SH	ChIP-seq HDAC2
iPS-15b female adult (48 years)	ChIP-seq H2AFZ
common myeloid progenitor, CD34-positive	ChIP-seq H3K27ac
heart left ventricle female adult (53 years)	ChIP-seq ELF1
smooth muscle cell originated from H9	RAMPAGE
SK-N-SH nuclear fraction	ChIP-seq H3K23ac
stomach male adult (54 years)	ChIP-seq H2BK15ac
heart right ventricle male child (3 years)	ChIP-seq H3K9me3
colonic mucosa female adult (56 years)	ChIP-seq MAFK
epithelial cell of proximal tubule	ChIP-seq H4K20me1
mesodermal cell originated from HUES64	ChIP-seq H3K4ac
vein endothelial cell male adult (48 years) and male adult (52 years)	CAGE
SU-DHL-6	ChIP-seq RCOR1
SK-MEL-5 cytosolic fraction	ChIP-seq H2BK5ac
CD4-positive, alpha-beta T cell	ChIP-seq YY1
IMR-90	ChIP-seq ZFP36
heart left ventricle male adult (34 years)	ChIP-seq H4K20me1
NCI-H460 cytosolic fraction	ChIP-seq H3K9me3
transverse colon male adult (37 years)	RAMPAGE
layer of hippocampus male adult (73 years)	ChIP-seq H2AFZ
B cell female adult (27 years) and female adult (43 years)	ChIP-seq REST
MCF-7	ChIP-seq SUZ12
peripheral blood mononuclear cell female adult (28 years)	ChIP-seq H3K9me3
mesenchymal stem cell of the bone marrow	ChIP-seq CHD2
K562 nucleolus fraction	ChIP-seq EGR1
B cell male adult (37 years)	ChIP-seq FOXK2
mucosa of stomach male adult (59 years)	ChIP-seq H2BK12ac
uterus female embryo (24 weeks) and female embryo (28 weeks)	ChIP-seq H3K4me1
ectodermal cell originated from embryonic stem cell	ChIP-seq H4K20me1
T-cell	ChIP-seq ATF3
keratinocyte cytosolic fraction female	ChIP-seq YY1
liver male adult (31 year)	ChIP-seq H3K23ac
Parathyroid adenoma male adult (62 years)	ChIP-seq H3K4ac
germinal matrix male embryo (20 weeks)	ChIP-seq GABPA
right atrium auricular region female adult (53 years)	ChIP-seq EGR1
HepG2 cytosolic fraction	ChIP-seq H2AK5ac
K562 cytosolic fraction	ChIP-seq H2BK12ac
melanocyte of skin male child (1 year) and male child (3 years)	ChIP-seq H2AK5ac
aorta female adult (30 years)	ChIP-seq TBP
Caco-2	ChIP-seq ZBTB33
tongue female embryo (20 weeks) and female embryo (24 weeks)	ChIP-seq SUZ12
peripheral blood mononuclear cell male adult (32 years)	ChIP-seq EP300
SK-N-DZ treated with dimethyl sulfoxide for 72 hours	ChIP-seq ZBTB33
spleen male adult (37 years)	ChIP-seq EGR1
peripheral blood mononuclear cell male adult (32 years)	ChIP-seq H3K14ac
trophoblast female embryo (20 weeks)	ChIP-seq NRF1
neurosphere embryo (15 weeks) originated from ganglionic eminence	ChIP-seq H3K9ac
gastroesophageal sphincter male adult (54 years)	ChIP-seq H3K79me1
uterus female embryo (24 weeks) and female embryo (28 weeks)	ChIP-seq TARDBP
stomach male child (3 years)	ChIP-seq H3K27me3
K562 cytosolic fraction	ChIP-seq POLR2AphosphoS5
mesenchymal stem cell originated from adipose tissue	ChIP-seq H2AK5ac
omental fat pad male adult (54 years)	ChIP-seq RXRA
middle frontal area 46 male adult (81 year)	ChIP-seq H2BK15ac
tibial nerve male adult (37 years)	ChIP-seq CHD2
neural progenitor cell originated from H9	ChIP-seq USF1
germinal matrix male embryo (20 weeks)	ChIP-seq MAFK
NCI-H460 nuclear fraction	ChIP-seq USF1
subcutaneous abdominal adipose tissue nuclear fraction female adult (81 year)	ChIP-seq RCOR1
omental fat pad female adult (51 year)	ChIP-seq H2BK120ac
chorionic villus male embryo (38 weeks)	ChIP-seq USF2
neural progenitor cell originated from H9	ChIP-seq CHD2
body of pancreas male adult (54 years)	ChIP-seq POLR2A
hair follicle dermal papilla cell female adult (47 years) and female adult (70 years)	polyA RNA-seq
CD4-positive, alpha-beta T cell	ChIP-seq EGR1
transverse colon male adult (37 years)	ChIP-seq H3K18ac
HeLa-S3 cytosolic fraction	ChIP-seq SP1
effector memory CD4-positive, alpha-beta T cell	ChIP-seq MAFK
trophoblast cell originated from H1-hESC	ChIP-seq ETS1
spleen male adult (34 years)	ChIP-seq MAFK
chorionic villus embryo (16 weeks)	ChIP-seq JUND
subcutaneous abdominal adipose tissue nuclear fraction female adult (49 years)	ChIP-seq CEBPB
lung male child (3 years)	ChIP-seq POLR2AphosphoS5
SJSA1	small RNA-seq
esophagus female adult (30 years)	ChIP-seq ATF3
spinal cord female embryo (24 weeks) and male embryo (22 weeks)	ChIP-seq SP1
T-cell	ChIP-seq GTF2F1
H1-hESC cytosolic fraction	small RNA-seq
adrenal gland female adult (30 years)	ChIP-seq RCOR1
neuron originated from H9	ChIP-seq H3K4me2
iPS-18a female adult (48 years)	ChIP-seq H3K23ac
suprapubic skin female adult (53 years)	ChIP-seq MAFK
HUES6	ChIP-seq H4K8ac
esophagus squamous epithelium male adult (54 years)	ChIP-seq ATF3
testis male adult (37 years)	ChIP-seq FOXK2
chorionic villus embryo (16 weeks)	ChIP-seq H3K27me3
adipocyte originated from mesenchymal stem cell	ChIP-seq JUND
foreskin keratinocyte male newborn	ChIP-seq TARDBP
B cell female adult (27 years)	polyA depleted RNA-seq
endocrine pancreas adult (59 years)	ChIP-seq SIN3A
mammary epithelial cell female adult (18 years)	ChIP-seq USF1
fibroblast of lung male adult (45 years)	small RNA-seq
Parathyroid adenoma male adult (65 years)	ChIP-seq JUND
subcutaneous adipose tissue female adult (51 year)	ChIP-seq SP1
mesenchymal stem cell originated from H1-hESC	ChIP-seq BHLHE40
adrenal gland female adult (51 year)	ChIP-seq RXRA
chorionic villus female embryo (40 weeks)	ChIP-seq ELK1
endocrine pancreas male adult (45 years)	ChIP-seq MAZ
adrenal gland female adult (51 year)	RAMPAGE
brain female embryo (17 weeks)	ChIP-seq POLR2A
heart female embryo (19 weeks) and female embryo (28 weeks)	ChIP-seq POLR2AphosphoS5
testis male adult (37 years)	ChIP-seq KDM1A
foreskin keratinocyte male newborn	ChIP-seq ATF3
ectodermal cell originated from embryonic stem cell	ChIP-seq H3K14ac
brain female embryo (17 weeks)	ChIP-seq H3K79me1
suprapubic skin male adult (37 years)	ChIP-seq H3K9ac
CD4-positive, CD25-positive, alpha-beta regulatory T cell	microRNA-seq
UCSF-4	ChIP-seq H3F3A
mesenchymal stem cell originated from adipose tissue	ChIP-seq TCF12
peripheral blood mononuclear cell female adult (28 years)	ChIP-seq ELK1
OCI-LY1	ChIP-seq CHD2
thyroid gland female embryo (37 weeks) and female embryo (40 weeks)	ChIP-seq H2AK5ac
thyroid gland female embryo (37 weeks) and female embryo (40 weeks)	ChIP-seq TCF12
iPS DF 6.9 male newborn	ChIP-seq EP300
muscle layer of colon female adult (56 years)	ChIP-seq CEBPB
sigmoid colon male child (3 years)	ChIP-seq POLR2AphosphoS5
B cell female adult (27 years)	ChIP-seq SP1
spleen female adult (53 years)	ChIP-seq EGR1
small intestine male child (3 years)	ChIP-seq RXRA
spleen male adult (34 years)	ChIP-seq GABPA
Peyer's patch female adult (51 year)	ChIP-seq H4K20me1
ovary female adult (53 years)	ChIP-seq H3K36me3
iPS DF 6.9 male newborn	ChIP-seq RFX5
myoepithelial cell of mammary gland female adult (36 years)	ChIP-seq H3K14ac
thymus male child (3 years)	ChIP-seq ELK1
SU-DHL-6	ChIP-seq H2BK5ac
SK-N-DZ nuclear fraction	ChIP-seq H2BK12ac
right cardiac atrium male adult (34 years)	ChIP-seq H3K4me2
liver female adult (25 years)	ChIP-seq SMC3
sigmoid colon male adult (34 years)	ChIP-seq JUND
fibroblast of breast female adult (17 years)	ChIP-seq GTF2F1
stomach male adult (34 years)	ChIP-seq H3K14ac
luminal epithelial cell of mammary gland female adult (33 years)	ChIP-seq BHLHE40
naive thymus-derived CD4-positive, alpha-beta T cell	ChIP-seq CEBPB
heart left ventricle male child (3 years)	ChIP-seq H3K27ac
Peyer's patch female adult (51 year)	ChIP-seq H3K14ac
common myeloid progenitor, CD34-positive	ChIP-seq HDAC2
skeletal muscle tissue female adult (72 years)	ChIP-seq FOXK2
melanocyte of skin male child (1 year) and male child (3 years)	ChIP-seq CEBPB
substantia nigra male adult (81 year)	polyA RNA-seq
adrenal gland female adult (53 years)	ChIP-seq H2AK5ac
Karpas-422	ChIP-seq H3K4me3
heart left ventricle male adult (34 years)	ChIP-seq EP300
esophagus squamous epithelium female adult (51 year)	ChIP-seq SUZ12
neural progenitor cell originated from H9	ChIP-seq H3K79me1
neurosphere female embryo (17 weeks) originated from ganglionic eminence	ChIP-seq JUND
duodenal mucosa male adult (59 years)	ChIP-seq H2BK15ac
myoepithelial cell of mammary gland female adult (33 years)	small RNA-seq
fibroblast of breast female adult (17 years)	ChIP-seq MAX
SK-N-SH nuclear fraction	microRNA-seq
stomach male adult (37 years)	ChIP-seq TCF12
vagina female adult (53 years)	ChIP-seq REST
thoracic aorta male adult (54 years)	ChIP-seq H2BK15ac
vagina female adult (51 year)	ChIP-seq TCF12
gastrocnemius medialis female adult (53 years)	ChIP-seq ATF3
keratinocyte female	ChIP-seq NRF1
GM23338 male adult (53 years) originated from GM23248	ChIP-seq USF2
spleen male adult (37 years)	ChIP-seq H2BK15ac
CD14-positive monocyte female	ChIP-seq H2BK5ac
iPS DF 19.11 male newborn	ChIP-seq POLR2AphosphoS5
skeletal muscle tissue female adult (72 years)	ChIP-seq SUZ12
A673	ChIP-seq BHLHE40
spleen female adult (53 years)	ChIP-seq YY1
AG04450	ChIP-seq RFX5
luminal epithelial cell of mammary gland female adult (33 years)	ChIP-seq TBP
SJSA1	ChIP-seq SUZ12
omental fat pad female adult (51 year)	ChIP-seq USF1
aorta male adult (34 years)	ChIP-seq TARDBP
subcutaneous preadipocyte female adult (62 years) and male adult (65 years)	ChIP-seq RXRA
PC-3	ChIP-seq HDAC2
esophagus squamous epithelium male adult (37 years)	ChIP-seq H4K20me1
thoracic aorta male adult (54 years)	ChIP-seq EGR1
vagina female adult (53 years)	ChIP-seq ELK1
ovary female adult (53 years)	small RNA-seq
muscle of trunk female embryo (115 days)	ChIP-seq RXRA
H1-hESC	ChIP-seq MAZ
frontal cortex female embryo (20 weeks) and male embryo (22 weeks)	ChIP-seq H3K4ac
subcutaneous abdominal adipose tissue nuclear fraction female adult (49 years)	ChIP-seq TCF12
neutrophil male	ChIP-seq MAFK
ascending aorta female adult (51 year)	ChIP-seq REST
esophagus squamous epithelium male adult (37 years)	ChIP-seq EP300
sigmoid colon female adult (51 year)	ChIP-seq GABPA
peripheral blood mononuclear cell male adult (39 years)	ChIP-seq GABPA
K562 cytosolic fraction	ChIP-seq USF2
heart right ventricle male child (3 years)	ChIP-seq ELK1
HT1080 nuclear fraction	ChIP-seq JUND
cingulate gyrus male adult (81 year)	ChIP-seq TARDBP
endothelial cell of umbilical vein cytosolic fraction male newborn	ChIP-seq H2BK12ac
ovary female adult (51 year)	ChIP-seq JUND
HeLa-S3 cytosolic fraction	polyA depleted RNA-seq
mesenchymal stem cell of Wharton's jelly	ChIP-seq SIN3A
kidney female embryo (120 days)	ChIP-seq H2AFZ
temporal lobe female adult (75 years)	ChIP-seq POLR2A
liver male adult (78 years)	ChIP-seq MAZ
sigmoid colon male child (3 years)	ChIP-seq H2BK12ac
adrenal gland male adult (34 years)	ChIP-seq H2AK5ac
DND-41	ChIP-seq ATF3
OCI-LY1	ChIP-seq H3K79me1
esophagus squamous epithelium female adult (51 year)	ChIP-seq KDM1A
body of pancreas male adult (37 years)	ChIP-seq CEBPB
M059J	ChIP-seq H3F3A
spleen female adult (30 years)	ChIP-seq SUZ12
stomach male adult (34 years)	DNase-seq read-depth normalized signal
tibial artery female adult (53 years)	ChIP-seq H2AK5ac
esophagus squamous epithelium male adult (54 years)	ChIP-seq GTF2F1
kidney male adult (50 years)	ChIP-seq H2BK15ac
Peyer's patch male adult (37 years)	ChIP-seq CEBPB
suprapubic skin male adult (37 years)	ChIP-seq YY1
lung male child (3 years)	ChIP-seq H3K79me2
omental fat pad female adult (53 years)	total RNA-seq
HCT116	ChIP-seq H3K4me2
GM23338 male adult (53 years) originated from GM23248	ChIP-seq POLR2AphosphoS5
SK-N-SH treated with 6 μM all-trans-retinoic acid for 48 hours	polyA depleted RNA-seq
amnion male embryo (16 weeks)	ChIP-seq TAF1
amnion male embryo (16 weeks)	ChIP-seq H3K4ac
gastrocnemius medialis male adult (54 years)	ChIP-seq H3K9me2
fibroblast of lung female child (11 year) and male adult (45 years)	ChIP-seq EZH2phosphoT487
body of pancreas male adult (54 years)	ChIP-seq H3K79me1
Peyer's patch male adult (54 years)	ChIP-seq H3K23ac
skeletal muscle tissue female embryo (19 weeks) and male embryo (22 weeks)	polyA depleted RNA-seq
natural killer cell male adult (21 year)	ChIP-seq H3K79me1
gastroesophageal sphincter female adult (53 years)	ChIP-seq H3K9me2
stomach smooth muscle male adult (59 years)	ChIP-seq POLR2AphosphoS5
thoracic aorta male adult (37 years)	microRNA-seq
psoas muscle male child (3 years)	ChIP-seq YY1
DND-41	ChIP-seq GTF2F1
smooth muscle cell originated from H9	ChIP-seq ETS1
GM12878	ChIP-seq CTCF
